Player,Nation,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Position_2,Position,League
Cameron Archer,ENG,Sheffield Utd,22,2001,20.4,49,2.41,32,0,9,5,1,2,4,0.20,2,0,1,1,0,0,Midfielder,Forward,Premier League
Cameron Archer,ENG,Aston Villa,22,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Premier League
Alphonse Areola,FRA,West Ham,30,1993,30.0,2,0.07,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Premier League
Adu Ares,ESP,Athletic Club,21,2001,2.9,3,1.02,2,0,1,0,0,0,1,0.34,1,0,0,0,0,0,,Forward,La Liga
Jesús Areso,ESP,Osasuna,24,1999,29.6,70,2.37,57,5,6,1,1,0,12,0.41,9,1,2,0,0,0,,Defender,La Liga
Simone Aresti,ITA,Cagliari,37,1986,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Matias Arezo,URU,Granada,20,2002,4.1,5,1.22,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,La Liga
Iñigo Arguibide,ESP,Osasuna,18,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Defender,La Liga
Yoël Armougom,FRA,Clermont Foot,25,1998,2.6,8,3.08,7,0,0,1,0,0,1,0.38,1,0,0,0,0,0,Midfielder,Defender,Ligue 1
José Arnaiz,ESP,Osasuna,28,1995,10.3,40,3.88,13,12,2,5,8,0,5,0.48,1,2,0,1,1,0,Midfielder,Forward,La Liga
Hákon Arnar Haraldsson,ISL,Lille,20,2003,14.3,35,2.45,23,2,3,2,5,0,1,0.07,0,0,0,0,1,0,Midfielder,Forward,Ligue 1
Marko Arnautović,AUT,Inter,34,1989,8.9,24,2.71,22,0,0,1,1,0,3,0.34,3,0,0,0,0,0,,Forward,Serie A
Maximilian Arnold,GER,Wolfsburg,29,1994,27.8,82,2.94,47,28,1,3,2,1,3,0.11,1,0,0,2,0,0,,Midfielder,Bundesliga
Mohamed El Arouch,FRA,Lyon,19,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Ligue 1
Sergio Arribas,ESP,Almería,21,2001,22.7,92,4.04,63,12,3,6,6,2,9,0.40,5,0,1,1,1,1,Forward,Midfielder,La Liga
Kepa Arrizabalaga,ESP,Real Madrid,28,1994,13.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,La Liga
Arthur,BRA,Leverkusen,20,2003,2.0,7,3.41,5,1,0,0,0,1,2,0.97,2,0,0,0,0,0,,Defender,Bundesliga
Takuma Asano,JPN,Bochum,28,1994,22.1,65,2.95,44,1,5,8,6,1,5,0.23,3,0,0,2,0,0,Midfielder,Forward,Bundesliga
Marco Asensio,ESP,Paris S-G,27,1996,12.4,52,4.21,38,10,1,1,1,1,7,0.57,5,1,0,1,0,0,Forward,Midfielder,Ligue 1
Kristjan Asllani,ALB,Inter,21,2002,8.7,19,2.18,13,4,1,1,0,0,5,0.57,4,1,0,0,0,0,,Midfielder,Serie A
Joel Asoro,SWE,Metz,24,1999,9.4,21,2.23,11,2,2,1,5,0,3,0.32,1,0,1,0,1,0,Midfielder,Forward,Ligue 1
Jonathan Asp Jensen,DEN,Bayern Munich,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Forward,Bundesliga
Iago Aspas,ESP,Celta Vigo,35,1987,30.1,172,5.72,120,30,7,8,7,0,20,0.67,14,2,2,1,1,0,,Forward,La Liga
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Lorenz Assignon,TOG,Burnley,23,2000,13.7,23,1.68,18,3,1,0,1,0,2,0.15,2,0,0,0,0,0,,Defender,Premier League
Lorenz Assignon,TOG,Rennes,23,2000,11.2,38,3.38,27,3,4,0,2,2,6,0.53,3,0,2,0,1,0,,Defender,Ligue 1
Youcef Atal,ALG,Nice,27,1996,4.0,12,3.01,9,0,1,1,1,0,1,0.25,1,0,0,0,0,0,,Defender,Ligue 1
Valentin Atangana Edoa,FRA,Reims,17,2005,6.2,6,0.97,2,0,0,2,1,1,0,0.00,0,0,0,0,0,0,,Midfielder,Ligue 1
Arthur Atta,FRA,Metz,20,2003,10.3,19,1.85,15,0,2,2,0,0,3,0.29,1,0,0,2,0,0,Forward,Midfielder,Ligue 1
Noah Atubolu,GER,Freiburg,21,2002,34.0,4,0.12,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Bundesliga
Pierre-Emerick Aubameyang,GAB,Marseille,34,1989,29.1,75,2.57,45,0,6,18,5,1,14,0.48,8,0,1,5,0,0,,Forward,Ligue 1
Emil Audero,ITA,Inter,26,1997,3.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Goalkeeper,Serie A
Tommaso Augello,ITA,Cagliari,28,1994,26.9,56,2.08,32,19,0,1,2,2,2,0.07,2,0,0,0,0,0,,Defender,Serie A
Carlos Augusto,BRA,Inter,24,1999,19.2,36,1.88,29,4,1,0,1,1,6,0.31,4,1,1,0,0,0,,Defender,Serie A
Yann Aurel Bisseck,GER,Inter,22,2000,10.0,10,1.00,4,0,1,2,3,0,0,0.00,0,0,0,0,0,0,,Defender,Serie A
